case_id,prefix,k,next_act
173790,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173790,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173790,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_activated
173790,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_activated,6,a_registered
173793,a_submitted,0,a_partlysubmitted
173793,a_submitted a_partlysubmitted,1,a_preaccepted
173793,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173793,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173793,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_registered
173793,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered,5,a_activated
173793,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered a_activated,6,a_approved
173796,a_submitted,0,a_partlysubmitted
173796,a_submitted a_partlysubmitted,1,a_preaccepted
173796,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173796,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173796,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173799,a_submitted,0,a_partlysubmitted
173799,a_submitted a_partlysubmitted,1,a_preaccepted
173799,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173802,a_submitted,0,a_partlysubmitted
173802,a_submitted a_partlysubmitted,1,a_declined
173805,a_submitted,0,a_partlysubmitted
173805,a_submitted a_partlysubmitted,1,a_preaccepted
173805,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173805,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173805,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173808,a_submitted,0,a_partlysubmitted
173808,a_submitted a_partlysubmitted,1,a_declined
173811,a_submitted,0,a_partlysubmitted
173811,a_submitted a_partlysubmitted,1,a_preaccepted
173811,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173811,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173811,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173814,a_submitted,0,a_partlysubmitted
173814,a_submitted a_partlysubmitted,1,a_preaccepted
173814,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173817,a_submitted,0,a_partlysubmitted
173817,a_submitted a_partlysubmitted,1,a_preaccepted
173817,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173817,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173817,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
173820,a_submitted,0,a_partlysubmitted
173820,a_submitted a_partlysubmitted,1,a_declined
173823,a_submitted,0,a_partlysubmitted
173823,a_submitted a_partlysubmitted,1,a_preaccepted
173823,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173823,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173823,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
173826,a_submitted,0,a_partlysubmitted
173826,a_submitted a_partlysubmitted,1,a_preaccepted
173826,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173829,a_submitted,0,a_partlysubmitted
173829,a_submitted a_partlysubmitted,1,a_preaccepted
173829,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173832,a_submitted,0,a_partlysubmitted
173832,a_submitted a_partlysubmitted,1,a_declined
173835,a_submitted,0,a_partlysubmitted
173835,a_submitted a_partlysubmitted,1,a_preaccepted
173835,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173835,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173835,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173838,a_submitted,0,a_partlysubmitted
173838,a_submitted a_partlysubmitted,1,a_declined
173841,a_submitted,0,a_partlysubmitted
173841,a_submitted a_partlysubmitted,1,a_preaccepted
173841,a_submitted a_partlysubmitted a_preaccepted,2,a_cancelled
173844,a_submitted,0,a_partlysubmitted
173844,a_submitted a_partlysubmitted,1,a_preaccepted
173844,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173844,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173844,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173844,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_registered
173844,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_registered,6,a_activated
173847,a_submitted,0,a_partlysubmitted
173847,a_submitted a_partlysubmitted,1,a_preaccepted
173847,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173847,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173847,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
173850,a_submitted,0,a_partlysubmitted
173850,a_submitted a_partlysubmitted,1,a_declined
173853,a_submitted,0,a_partlysubmitted
173853,a_submitted a_partlysubmitted,1,a_declined
173856,a_submitted,0,a_partlysubmitted
173856,a_submitted a_partlysubmitted,1,a_declined
173859,a_submitted,0,a_partlysubmitted
173859,a_submitted a_partlysubmitted,1,a_preaccepted
173859,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173859,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173859,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173862,a_submitted,0,a_partlysubmitted
173862,a_submitted a_partlysubmitted,1,a_declined
173865,a_submitted,0,a_partlysubmitted
173865,a_submitted a_partlysubmitted,1,a_declined
173868,a_submitted,0,a_partlysubmitted
173868,a_submitted a_partlysubmitted,1,a_preaccepted
173868,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173868,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173868,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
173871,a_submitted,0,a_partlysubmitted
173871,a_submitted a_partlysubmitted,1,a_preaccepted
173871,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173871,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173871,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
173874,a_submitted,0,a_partlysubmitted
173874,a_submitted a_partlysubmitted,1,a_declined
173877,a_submitted,0,a_partlysubmitted
173877,a_submitted a_partlysubmitted,1,a_declined
173880,a_submitted,0,a_partlysubmitted
173880,a_submitted a_partlysubmitted,1,a_preaccepted
173880,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173880,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173880,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173880,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_registered
173880,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_registered,6,a_activated
173883,a_submitted,0,a_partlysubmitted
173883,a_submitted a_partlysubmitted,1,a_declined
173886,a_submitted,0,a_partlysubmitted
173886,a_submitted a_partlysubmitted,1,a_declined
173889,a_submitted,0,a_partlysubmitted
173889,a_submitted a_partlysubmitted,1,a_declined
173892,a_submitted,0,a_partlysubmitted
173892,a_submitted a_partlysubmitted,1,a_declined
173895,a_submitted,0,a_partlysubmitted
173895,a_submitted a_partlysubmitted,1,a_declined
173898,a_submitted,0,a_partlysubmitted
173898,a_submitted a_partlysubmitted,1,a_preaccepted
173898,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173898,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173898,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173901,a_submitted,0,a_partlysubmitted
173901,a_submitted a_partlysubmitted,1,a_declined
173904,a_submitted,0,a_partlysubmitted
173904,a_submitted a_partlysubmitted,1,a_declined
173907,a_partlysubmitted,0,a_declined
173910,a_submitted,0,a_partlysubmitted
173910,a_submitted a_partlysubmitted,1,a_declined
173913,a_submitted,0,a_partlysubmitted
173913,a_submitted a_partlysubmitted,1,a_preaccepted
173913,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173913,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173913,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_activated
173913,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_activated,5,a_approved
173913,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_activated a_approved,6,a_registered
173916,a_submitted,0,a_partlysubmitted
173916,a_submitted a_partlysubmitted,1,a_declined
173919,a_submitted,0,a_partlysubmitted
173919,a_submitted a_partlysubmitted,1,a_preaccepted
173919,a_submitted a_partlysubmitted a_preaccepted,2,a_cancelled
173922,a_submitted,0,a_partlysubmitted
173922,a_submitted a_partlysubmitted,1,a_declined
173925,a_submitted,0,a_partlysubmitted
173925,a_submitted a_partlysubmitted,1,a_preaccepted
173925,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
173928,a_submitted,0,a_partlysubmitted
173928,a_submitted a_partlysubmitted,1,a_preaccepted
173928,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173928,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173928,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_registered
173928,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered,5,a_approved
173928,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered a_approved,6,a_activated
173931,a_submitted,0,a_partlysubmitted
173931,a_submitted a_partlysubmitted,1,a_declined
173934,a_submitted,0,a_partlysubmitted
173934,a_submitted a_partlysubmitted,1,a_declined
173937,a_submitted,0,a_partlysubmitted
173937,a_submitted a_partlysubmitted,1,a_preaccepted
173937,a_submitted a_partlysubmitted a_preaccepted,2,a_cancelled
173940,a_submitted,0,a_partlysubmitted
173940,a_submitted a_partlysubmitted,1,a_preaccepted
173940,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173940,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173940,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173940,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_registered
173940,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_registered,6,a_activated
173943,a_submitted,0,a_partlysubmitted
173943,a_submitted a_partlysubmitted,1,a_preaccepted
173943,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173943,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173943,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173946,a_submitted,0,a_partlysubmitted
173946,a_submitted a_partlysubmitted,1,a_preaccepted
173946,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173946,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173946,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173949,a_submitted,0,a_partlysubmitted
173949,a_submitted a_partlysubmitted,1,a_preaccepted
173949,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173949,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173949,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
173952,a_submitted,0,a_partlysubmitted
173952,a_submitted a_partlysubmitted,1,a_declined
173955,a_submitted,0,a_partlysubmitted
173955,a_submitted a_partlysubmitted,1,a_preaccepted
173955,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173955,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173955,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173955,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_registered
173955,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_registered,6,a_activated
173958,a_submitted,0,a_partlysubmitted
173958,a_submitted a_partlysubmitted,1,a_preaccepted
173958,a_submitted a_partlysubmitted a_preaccepted,2,a_cancelled
173961,a_submitted,0,a_partlysubmitted
173961,a_submitted a_partlysubmitted,1,a_declined
173964,a_submitted,0,a_partlysubmitted
173964,a_submitted a_partlysubmitted,1,a_preaccepted
173964,a_submitted a_partlysubmitted a_preaccepted,2,a_cancelled
173979,a_submitted,0,a_partlysubmitted
173979,a_submitted a_partlysubmitted,1,a_preaccepted
173979,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173979,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173979,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
173979,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_activated
173979,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_activated,6,a_registered
173982,a_submitted,0,a_partlysubmitted
173982,a_submitted a_partlysubmitted,1,a_preaccepted
173982,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173982,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173982,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173985,a_submitted,0,a_partlysubmitted
173985,a_submitted a_partlysubmitted,1,a_preaccepted
173985,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173985,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173985,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
173988,a_submitted,0,a_partlysubmitted
173988,a_submitted a_partlysubmitted,1,a_preaccepted
173988,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173988,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173988,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
173991,a_submitted,0,a_partlysubmitted
173991,a_submitted a_partlysubmitted,1,a_declined
173994,a_submitted,0,a_partlysubmitted
173994,a_submitted a_partlysubmitted,1,a_declined
173997,a_submitted,0,a_partlysubmitted
173997,a_submitted a_partlysubmitted,1,a_preaccepted
173997,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
173997,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
173997,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
174000,a_submitted,0,a_partlysubmitted
174000,a_submitted a_partlysubmitted,1,a_preaccepted
174000,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
174000,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
174000,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
174003,a_submitted,0,a_partlysubmitted
174003,a_submitted a_partlysubmitted,1,a_declined
174006,a_submitted,0,a_partlysubmitted
174006,a_submitted a_partlysubmitted,1,a_declined
174009,a_submitted,0,a_partlysubmitted
174009,a_submitted a_partlysubmitted,1,a_preaccepted
174009,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
174009,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
174009,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_declined
174012,a_submitted,0,a_partlysubmitted
174012,a_submitted a_partlysubmitted,1,a_preaccepted
174012,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
174012,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
174012,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
174015,a_submitted,0,a_partlysubmitted
174015,a_submitted a_partlysubmitted,1,a_declined
174018,a_submitted,0,a_partlysubmitted
174018,a_submitted a_partlysubmitted,1,a_preaccepted
174018,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
174018,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
174018,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
174021,a_submitted,0,a_partlysubmitted
174021,a_submitted a_partlysubmitted,1,a_declined
174024,a_submitted,0,a_partlysubmitted
174024,a_submitted a_partlysubmitted,1,a_preaccepted
174024,a_submitted a_partlysubmitted a_preaccepted,2,a_declined
174027,a_submitted,0,a_partlysubmitted
174027,a_submitted a_partlysubmitted,1,a_declined
174030,a_submitted,0,a_partlysubmitted
174030,a_submitted a_partlysubmitted,1,a_preaccepted
174030,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
174030,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
174030,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_cancelled
174033,a_submitted,0,a_partlysubmitted
174033,a_submitted a_partlysubmitted,1,a_declined
174036,a_submitted,0,a_partlysubmitted
174036,a_submitted a_partlysubmitted,1,a_preaccepted
174036,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
174036,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
174036,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_approved
174036,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved,5,a_activated
174036,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_approved a_activated,6,a_registered
174039,a_submitted,0,a_partlysubmitted
174039,a_submitted a_partlysubmitted,1,a_preaccepted
174039,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
174039,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
174039,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_activated
174039,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_activated,5,a_approved
174039,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_activated a_approved,6,a_registered
174042,a_submitted,0,a_partlysubmitted
174042,a_submitted a_partlysubmitted,1,a_preaccepted
174042,a_submitted a_partlysubmitted a_preaccepted,2,a_accepted
174042,a_submitted a_partlysubmitted a_preaccepted a_accepted,3,a_finalized
174042,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized,4,a_registered
174042,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered,5,a_approved
174042,a_submitted a_partlysubmitted a_preaccepted a_accepted a_finalized a_registered a_approved,6,a_activated
