Case ID,n_A,n_O,n_W,has_A,has_O,has_W
174454,3,0,0,1,0,0
174457,4,0,9,1,0,1
174460,3,0,0,1,0,0
174463,8,5,15,1,1,1
174466,3,0,0,1,0,0
174469,6,5,5,1,1,1
174472,3,0,1,1,0,1
174475,4,0,2,1,0,1
174478,8,9,13,1,1,1
174481,4,0,12,1,0,1
174484,4,0,4,1,0,1
174487,8,5,4,1,1,1
174490,4,0,8,1,0,1
174493,6,4,13,1,1,1
174496,4,0,1,1,0,1
174499,3,0,1,1,0,1
174502,8,9,14,1,1,1
174505,8,5,5,1,1,1
174508,6,5,4,1,1,1
174511,8,9,26,1,1,1
174514,3,0,0,1,0,0
174517,6,4,32,1,1,1
174520,3,0,0,1,0,0
174523,3,0,0,1,0,0
174526,3,0,1,1,0,1
174529,6,5,12,1,1,1
174532,3,0,1,1,0,1
174535,8,5,5,1,1,1
174538,8,5,8,1,1,1
174541,6,4,14,1,1,1
174544,3,0,0,1,0,0
174547,6,4,19,1,1,1
174559,6,5,21,1,1,1
174562,8,5,5,1,1,1
174565,6,4,7,1,1,1
174568,6,4,12,1,1,1
174571,6,4,3,1,1,1
174574,3,0,1,1,0,1
174577,8,5,27,1,1,1
174599,3,0,0,1,0,0
174602,8,5,4,1,1,1
174605,8,5,5,1,1,1
174608,4,0,1,1,0,1
174611,4,0,2,1,0,1
174614,6,4,14,1,1,1
174617,3,0,0,1,0,0
174620,8,5,7,1,1,1
174623,3,0,1,1,0,1
174626,3,0,2,1,0,1
174629,8,5,6,1,1,1
174632,3,0,0,1,0,0
174635,8,5,6,1,1,1
174638,6,4,6,1,1,1
174641,3,0,0,1,0,0
174644,6,8,17,1,1,1
174647,3,0,1,1,0,1
174650,8,13,13,1,1,1
174653,8,5,8,1,1,1
174656,6,5,11,1,1,1
174659,8,9,14,1,1,1
174662,3,0,0,1,0,0
174665,3,0,1,1,0,1
174668,3,0,2,1,0,1
174671,6,8,17,1,1,1
174674,3,0,0,1,0,0
174677,3,0,0,1,0,0
174680,3,0,0,1,0,0
174683,4,0,12,1,0,1
174686,8,5,6,1,1,1
174689,4,0,19,1,0,1
174692,3,0,0,1,0,0
174695,6,4,7,1,1,1
174698,3,0,0,1,0,0
174701,3,0,0,1,0,0
174704,3,0,0,1,0,0
174707,6,9,11,1,1,1
174710,4,0,14,1,0,1
174713,4,0,2,1,0,1
174716,4,0,5,1,0,1
174719,8,5,6,1,1,1
174722,8,13,15,1,1,1
174725,3,0,0,1,0,0
174728,3,0,1,1,0,1
174731,3,0,2,1,0,1
174734,3,0,2,1,0,1
174737,6,4,12,1,1,1
174740,6,4,14,1,1,1
174743,3,0,2,1,0,1
174746,3,0,2,1,0,1
174749,8,5,13,1,1,1
174752,8,5,5,1,1,1
174755,3,0,2,1,0,1
174758,8,9,11,1,1,1
174761,8,13,7,1,1,1
174764,8,13,12,1,1,1
174767,4,0,10,1,0,1
174770,3,0,2,1,0,1
174773,8,5,7,1,1,1
174776,3,0,0,1,0,0
174779,8,5,5,1,1,1
174782,3,0,1,1,0,1
174785,6,5,16,1,1,1
174788,3,0,0,1,0,0
174791,3,0,0,1,0,0
174794,3,0,1,1,0,1
174797,3,0,0,1,0,0
174800,6,5,5,1,1,1
174803,3,0,0,1,0,0
174806,4,0,23,1,0,1
174809,3,0,0,1,0,0
174812,3,0,0,1,0,0
174815,8,13,12,1,1,1
174818,6,4,20,1,1,1
174821,4,0,2,1,0,1
174824,8,5,10,1,1,1
174827,6,4,3,1,1,1
174830,3,0,0,1,0,0
174833,3,0,0,1,0,0
174836,3,0,1,1,0,1
174839,3,0,0,1,0,0
174842,3,0,0,1,0,0
174845,8,5,15,1,1,1
174848,6,5,5,1,1,1
174851,8,5,23,1,1,1
174854,4,0,7,1,0,1
174857,4,0,6,1,0,1
174860,4,0,4,1,0,1
174863,8,9,8,1,1,1
174866,3,0,0,1,0,0
174869,4,0,13,1,0,1
174872,6,14,32,1,1,1
174875,8,5,4,1,1,1
174878,8,5,6,1,1,1
174881,6,4,10,1,1,1
174884,6,12,13,1,1,1
174887,3,0,0,1,0,0
174890,5,0,2,1,0,1
174893,4,0,2,1,0,1
174896,8,5,17,1,1,1
174899,3,0,0,1,0,0
174902,4,0,3,1,0,1
174905,6,5,9,1,1,1
174908,3,0,2,1,0,1
174911,8,5,6,1,1,1
174914,6,4,5,1,1,1
174917,6,4,11,1,1,1
174920,6,5,9,1,1,1
174923,8,5,10,1,1,1
174926,8,5,10,1,1,1
174929,8,5,4,1,1,1
174932,4,0,5,1,0,1
174935,8,9,11,1,1,1
174938,8,5,14,1,1,1
174941,4,0,2,1,0,1
174944,8,10,31,1,1,1
174947,6,4,6,1,1,1
174950,4,0,3,1,0,1
174953,8,5,3,1,1,1
174956,3,0,1,1,0,1
174959,6,4,15,1,1,1
174962,8,5,14,1,1,1
174965,8,9,18,1,1,1
174968,8,5,14,1,1,1
174979,6,4,11,1,1,1
174982,4,0,2,1,0,1
174985,6,8,4,1,1,1
174988,3,0,0,1,0,0
174991,4,0,5,1,0,1
174994,3,0,1,1,0,1
174997,4,0,1,1,0,1
175000,3,0,4,1,0,1
175003,3,0,0,1,0,0
175006,3,0,0,1,0,0
175009,3,0,0,1,0,0
175012,4,0,2,1,0,1
175015,6,9,16,1,1,1
175018,6,5,5,1,1,1
175021,3,0,0,1,0,0
175024,4,0,10,1,0,1
175027,8,5,11,1,1,1
175030,3,0,0,1,0,0
175033,3,0,1,1,0,1
175036,3,0,0,1,0,0
175039,6,4,15,1,1,1
175042,3,0,1,1,0,1
175045,6,5,6,1,1,1
175048,4,0,13,1,0,1
175051,3,0,0,1,0,0
175054,8,5,8,1,1,1
175057,3,0,1,1,0,1
175060,8,9,17,1,1,1
175063,3,0,1,1,0,1
175066,3,0,1,1,0,1
175069,3,0,0,1,0,0
175072,3,0,0,1,0,0
175075,4,0,3,1,0,1
175078,6,9,23,1,1,1
175081,6,5,14,1,1,1
175084,3,0,0,1,0,0
175087,3,0,1,1,0,1
175090,3,0,0,1,0,0
175093,6,9,23,1,1,1
175096,4,0,35,1,0,1
175099,8,5,9,1,1,1
175102,3,0,1,1,0,1
175105,8,9,6,1,1,1
175108,3,0,1,1,0,1
175111,4,0,2,1,0,1
175114,8,5,4,1,1,1
175117,3,0,1,1,0,1
175120,4,0,11,1,0,1
175123,3,0,0,1,0,0
175126,3,0,1,1,0,1
175129,3,0,0,1,0,0
175132,3,0,1,1,0,1
175135,4,0,13,1,0,1
175138,3,0,0,1,0,0
175141,6,4,4,1,1,1
175144,3,0,0,1,0,0
175147,8,5,16,1,1,1
175150,3,0,1,1,0,1
175153,8,5,5,1,1,1
175156,3,0,2,1,0,1
175159,3,0,1,1,0,1
175162,6,5,4,1,1,1
175165,3,0,0,1,0,0
175168,3,0,1,1,0,1
175171,4,0,16,1,0,1
175174,4,0,8,1,0,1
175177,8,9,13,1,1,1
175180,8,5,10,1,1,1
175183,8,5,8,1,1,1
175186,4,0,2,1,0,1
175189,4,0,3,1,0,1
175192,8,5,16,1,1,1
175195,6,4,17,1,1,1
175198,4,0,5,1,0,1
175201,3,0,1,1,0,1
175204,8,5,8,1,1,1
175219,5,0,2,1,0,1
175222,3,0,0,1,0,0
175225,3,0,1,1,0,1
175228,3,0,1,1,0,1
175231,6,8,24,1,1,1
175234,6,4,22,1,1,1
175239,6,4,9,1,1,1
175242,3,0,0,1,0,0
175245,3,0,1,1,0,1
175248,8,5,10,1,1,1
175251,6,4,4,1,1,1
175254,6,5,17,1,1,1
175257,3,0,1,1,0,1
175260,4,0,8,1,0,1
175263,6,4,9,1,1,1
175266,8,5,5,1,1,1
175269,3,0,0,1,0,0
175272,3,0,0,1,0,0
175275,6,8,21,1,1,1
175278,6,4,4,1,1,1
175281,8,9,24,1,1,1
175284,3,0,1,1,0,1
175287,6,5,13,1,1,1
175290,3,0,0,1,0,0
175293,8,5,17,1,1,1
175296,3,0,0,1,0,0
175299,4,0,3,1,0,1
175302,8,5,5,1,1,1
175305,6,5,9,1,1,1
175308,3,0,0,1,0,0
175311,8,5,22,1,1,1
175314,3,0,1,1,0,1
175317,3,0,0,1,0,0
175320,3,0,0,1,0,0
175323,8,9,12,1,1,1
175326,3,0,0,1,0,0
175329,8,13,21,1,1,1
175332,6,4,12,1,1,1
175335,8,5,13,1,1,1
175338,6,4,13,1,1,1
175341,4,0,6,1,0,1
175344,8,5,11,1,1,1
175347,8,5,6,1,1,1
175350,3,0,0,1,0,0
175353,6,5,32,1,1,1
175356,3,0,0,1,0,0
175359,4,0,2,1,0,1
175362,3,0,0,1,0,0
175365,6,4,7,1,1,1
175368,3,0,2,1,0,1
175371,4,0,1,1,0,1
175374,6,5,12,1,1,1
175377,8,5,25,1,1,1
175380,4,0,9,1,0,1
175383,8,5,5,1,1,1
175386,6,4,10,1,1,1
175389,4,0,2,1,0,1
175392,8,5,16,1,1,1
175395,6,8,6,1,1,1
175398,3,0,1,1,0,1
175401,4,0,11,1,0,1
175404,3,0,0,1,0,0
175407,8,5,7,1,1,1
175410,8,9,10,1,1,1
175413,6,4,2,1,1,1
175416,3,0,0,1,0,0
175419,6,4,9,1,1,1
175422,3,0,1,1,0,1
175425,8,5,10,1,1,1
175428,6,5,13,1,1,1
175431,3,0,0,1,0,0
175434,6,4,5,1,1,1
175437,8,5,15,1,1,1
175440,3,0,0,1,0,0
175443,3,0,0,1,0,0
175446,3,0,1,1,0,1
175449,3,0,0,1,0,0
175452,3,0,1,1,0,1
175455,6,5,7,1,1,1
175458,3,0,0,1,0,0
175461,3,0,0,1,0,0
175464,3,0,0,1,0,0
175467,3,0,0,1,0,0
175470,3,0,0,1,0,0
175473,4,0,3,1,0,1
175476,4,0,5,1,0,1
175479,4,0,3,1,0,1
175482,3,0,0,1,0,0
175485,8,5,5,1,1,1
175488,4,0,5,1,0,1
175491,8,9,7,1,1,1
175494,6,5,7,1,1,1
175497,8,9,10,1,1,1
175500,3,0,0,1,0,0
175519,4,0,3,1,0,1
175522,3,0,2,1,0,1
175525,6,4,8,1,1,1
175528,6,4,3,1,1,1
175531,4,0,2,1,0,1
175534,6,4,15,1,1,1
175537,4,0,1,1,0,1
175540,3,0,0,1,0,0
175543,8,9,15,1,1,1
175546,8,5,6,1,1,1
175549,8,5,12,1,1,1
175552,6,5,9,1,1,1
175555,4,0,8,1,0,1
175558,3,0,0,1,0,0
175561,3,0,0,1,0,0
175564,4,0,2,1,0,1
175567,8,5,6,1,1,1
175570,3,0,1,1,0,1
175573,6,4,23,1,1,1
175576,4,0,1,1,0,1
175579,3,0,0,1,0,0
175582,8,5,8,1,1,1
175585,8,9,14,1,1,1
175588,3,0,3,1,0,1
175591,6,4,11,1,1,1
175594,4,0,4,1,0,1
175597,6,5,17,1,1,1
175600,6,4,8,1,1,1
175603,3,0,1,1,0,1
175606,8,5,7,1,1,1
175609,3,0,0,1,0,0
175612,3,0,0,1,0,0
175615,6,4,8,1,1,1
175618,3,0,0,1,0,0
175621,3,0,0,1,0,0
175624,8,5,4,1,1,1
175627,8,5,9,1,1,1
175630,4,0,15,1,0,1
175633,3,0,0,1,0,0
175636,3,0,0,1,0,0
175639,3,0,0,1,0,0
175642,4,0,10,1,0,1
175645,3,0,0,1,0,0
175648,3,0,1,1,0,1
175651,6,13,19,1,1,1
175654,3,0,1,1,0,1
175657,8,5,11,1,1,1
175660,3,0,1,1,0,1
175663,3,0,1,1,0,1
175666,4,0,1,1,0,1
175669,6,4,12,1,1,1
175672,6,4,4,1,1,1
175675,4,0,15,1,0,1
175678,3,0,1,1,0,1
175681,4,0,9,1,0,1
175684,8,5,15,1,1,1
175687,6,4,5,1,1,1
175690,6,4,3,1,1,1
175693,6,4,3,1,1,1
175696,3,0,1,1,0,1
175699,6,4,9,1,1,1
175702,4,0,15,1,0,1
175705,3,0,2,1,0,1
175708,3,0,0,1,0,0
175711,4,0,2,1,0,1
175714,4,0,6,1,0,1
175717,4,0,1,1,0,1
175720,6,4,12,1,1,1
175723,3,0,0,1,0,0
175726,6,8,10,1,1,1
175729,3,0,1,1,0,1
175732,3,0,0,1,0,0
175735,8,18,20,1,1,1
175738,3,0,1,1,0,1
175741,8,9,9,1,1,1
175744,4,0,19,1,0,1
175747,3,0,1,1,0,1
175750,4,0,5,1,0,1
175753,3,0,0,1,0,0
175756,8,5,9,1,1,1
175759,4,0,7,1,0,1
175762,3,0,0,1,0,0
175765,4,0,4,1,0,1
175768,4,0,2,1,0,1
175771,4,0,2,1,0,1
175774,6,4,5,1,1,1
175777,3,0,0,1,0,0
175780,6,8,11,1,1,1
175783,3,0,0,1,0,0
175786,3,0,1,1,0,1
175789,6,4,4,1,1,1
175792,6,4,15,1,1,1
175795,3,0,0,1,0,0
175798,8,5,8,1,1,1
175801,8,9,8,1,1,1
175804,6,8,15,1,1,1
175807,6,8,9,1,1,1
175810,3,0,1,1,0,1
175813,6,5,5,1,1,1
175816,3,0,0,1,0,0
175819,4,0,2,1,0,1
175822,8,5,9,1,1,1
175825,6,5,6,1,1,1
175828,3,0,0,1,0,0
175831,4,0,3,1,0,1
175834,8,5,6,1,1,1
175837,3,0,2,1,0,1
175840,4,0,10,1,0,1
175843,8,5,5,1,1,1
175846,3,0,1,1,0,1
175859,8,5,6,1,1,1
175862,3,0,0,1,0,0
175865,3,0,1,1,0,1
175868,3,0,0,1,0,0
175871,4,0,2,1,0,1
175874,3,0,0,1,0,0
175877,3,0,1,1,0,1
175880,3,0,1,1,0,1
175883,6,5,11,1,1,1
175886,3,0,1,1,0,1
175889,3,0,1,1,0,1
175892,8,10,22,1,1,1
175895,3,0,0,1,0,0
175898,4,0,4,1,0,1
175901,3,0,1,1,0,1
175904,3,0,0,1,0,0
175907,6,5,6,1,1,1
175910,6,4,11,1,1,1
175913,6,5,5,1,1,1
175916,3,0,1,1,0,1
175919,3,0,0,1,0,0
175922,4,0,6,1,0,1
175925,3,0,0,1,0,0
175928,4,0,2,1,0,1
175931,3,0,1,1,0,1
175934,3,0,1,1,0,1
175937,6,4,3,1,1,1
175940,3,0,0,1,0,0
175943,3,0,0,1,0,0
175946,4,0,2,1,0,1
175949,3,0,0,1,0,0
175952,4,0,2,1,0,1
175955,3,0,0,1,0,0
175958,6,4,3,1,1,1
175961,3,0,0,1,0,0
175964,3,0,0,1,0,0
175967,3,0,0,1,0,0
175970,4,0,15,1,0,1
175973,8,5,6,1,1,1
175976,6,4,2,1,1,1
175979,4,0,2,1,0,1
175982,3,0,1,1,0,1
175985,3,0,0,1,0,0
175988,3,0,2,1,0,1
175991,6,5,5,1,1,1
175994,6,5,21,1,1,1
175997,8,9,7,1,1,1
176000,6,5,7,1,1,1
176003,3,0,0,1,0,0
176006,4,0,10,1,0,1
176009,3,0,1,1,0,1
176012,6,4,20,1,1,1
176015,6,4,4,1,1,1
176018,4,0,1,1,0,1
176021,8,5,5,1,1,1
176024,3,0,0,1,0,0
176027,3,0,1,1,0,1
176030,6,4,6,1,1,1
176033,6,4,6,1,1,1
176036,3,0,0,1,0,0
176039,6,5,10,1,1,1
176042,3,0,0,1,0,0
176045,6,4,3,1,1,1
176048,8,5,9,1,1,1
176051,8,5,5,1,1,1
176054,3,0,1,1,0,1
176057,4,0,6,1,0,1
176060,6,4,6,1,1,1
176063,8,5,3,1,1,1
176066,4,0,3,1,0,1
176069,8,5,6,1,1,1
176072,8,5,7,1,1,1
176075,3,0,1,1,0,1
176078,5,0,6,1,0,1
176081,6,4,15,1,1,1
176084,4,0,10,1,0,1
176087,8,5,15,1,1,1
176090,8,9,13,1,1,1
176093,8,9,17,1,1,1
176096,4,0,7,1,0,1
176099,3,0,1,1,0,1
176102,4,0,3,1,0,1
176105,6,8,16,1,1,1
176119,8,9,9,1,1,1
176122,4,0,7,1,0,1
176125,3,0,0,1,0,0
176128,6,4,4,1,1,1
176131,8,5,9,1,1,1
176134,8,5,24,1,1,1
176137,8,5,3,1,1,1
176140,3,0,1,1,0,1
176143,3,0,1,1,0,1
176146,6,4,24,1,1,1
176149,4,0,4,1,0,1
176152,8,5,4,1,1,1
176155,3,0,1,1,0,1
176158,6,4,8,1,1,1
176161,3,0,0,1,0,0
176164,3,0,1,1,0,1
176167,6,5,10,1,1,1
176170,4,0,3,1,0,1
176173,3,0,0,1,0,0
176176,8,5,19,1,1,1
176179,6,4,12,1,1,1
176182,6,12,17,1,1,1
176185,6,5,4,1,1,1
176188,6,4,11,1,1,1
176191,4,0,10,1,0,1
176194,4,0,2,1,0,1
176197,3,0,0,1,0,0
176200,3,0,0,1,0,0
176203,6,8,7,1,1,1
176206,4,0,7,1,0,1
176209,3,0,1,1,0,1
176212,3,0,1,1,0,1
176215,3,0,1,1,0,1
176218,8,5,32,1,1,1
176221,3,0,0,1,0,0
176224,6,5,5,1,1,1
176227,6,4,5,1,1,1
176230,4,0,2,1,0,1
176233,3,0,0,1,0,0
176236,3,0,2,1,0,1
176239,8,5,14,1,1,1
176242,3,0,0,1,0,0
176245,3,0,1,1,0,1
176248,3,0,0,1,0,0
176251,3,0,0,1,0,0
176254,3,0,0,1,0,0
176257,3,0,0,1,0,0
176260,3,0,0,1,0,0
176263,4,0,2,1,0,1
176266,8,5,4,1,1,1
176269,6,5,14,1,1,1
176272,3,0,1,1,0,1
176275,8,5,27,1,1,1
176278,6,4,7,1,1,1
176281,6,12,9,1,1,1
176284,6,5,19,1,1,1
176287,6,9,18,1,1,1
176290,8,10,26,1,1,1
176293,3,0,1,1,0,1
176296,3,0,0,1,0,0
176299,4,0,2,1,0,1
176302,4,0,7,1,0,1
176305,6,8,14,1,1,1
176308,4,0,6,1,0,1
176311,3,0,0,1,0,0
176314,4,0,6,1,0,1
176317,4,0,4,1,0,1
176320,4,0,5,1,0,1
176323,6,4,8,1,1,1
176326,8,5,19,1,1,1
176329,3,0,1,1,0,1
176332,6,4,12,1,1,1
176339,3,0,1,1,0,1
176342,4,0,12,1,0,1
176345,6,16,9,1,1,1
176359,4,0,1,1,0,1
176362,3,0,0,1,0,0
176365,3,0,0,1,0,0
176368,6,9,13,1,1,1
176371,6,4,7,1,1,1
176374,6,9,15,1,1,1
176377,3,0,0,1,0,0
176380,6,9,43,1,1,1
176383,8,9,10,1,1,1
176386,6,5,14,1,1,1
176389,8,5,6,1,1,1
176392,8,5,4,1,1,1
176395,6,5,7,1,1,1
176398,5,0,3,1,0,1
176401,3,0,0,1,0,0
176404,6,5,12,1,1,1
176407,3,0,0,1,0,0
176410,3,0,1,1,0,1
176413,8,5,6,1,1,1
176416,3,0,1,1,0,1
176419,6,5,8,1,1,1
176422,3,0,0,1,0,0
176425,3,0,0,1,0,0
176428,6,5,3,1,1,1
176431,4,0,1,1,0,1
176434,3,0,1,1,0,1
176437,8,5,7,1,1,1
176440,4,0,2,1,0,1
176443,3,0,0,1,0,0
176446,8,10,52,1,1,1
176449,3,0,1,1,0,1
176452,3,0,2,1,0,1
176455,3,0,0,1,0,0
176458,8,5,10,1,1,1
176461,4,0,4,1,0,1
176464,3,0,0,1,0,0
176467,8,5,14,1,1,1
176470,4,0,4,1,0,1
176473,3,0,1,1,0,1
176476,6,4,18,1,1,1
176479,3,0,1,1,0,1
176482,3,0,1,1,0,1
176485,3,0,0,1,0,0
176488,8,10,12,1,1,1
176491,6,8,6,1,1,1
176494,3,0,0,1,0,0
176497,3,0,0,1,0,0
176500,6,5,8,1,1,1
176503,3,0,1,1,0,1
176506,4,0,2,1,0,1
176509,3,0,0,1,0,0
176512,3,0,0,1,0,0
176515,8,5,26,1,1,1
176518,3,0,0,1,0,0
176521,6,4,11,1,1,1
176524,3,0,2,1,0,1
176527,4,0,15,1,0,1
176530,3,0,1,1,0,1
176533,6,9,20,1,1,1
176536,3,0,0,1,0,0
176539,6,13,21,1,1,1
176542,8,5,52,1,1,1
176545,8,5,12,1,1,1
176548,3,0,1,1,0,1
176551,4,0,1,1,0,1
176554,3,0,0,1,0,0
176557,4,0,16,1,0,1
176560,3,0,0,1,0,0
176563,4,0,2,1,0,1
176566,8,5,32,1,1,1
176569,3,0,1,1,0,1
176572,4,0,8,1,0,1
176575,6,5,13,1,1,1
176578,4,0,4,1,0,1
176581,8,5,12,1,1,1
176584,3,0,1,1,0,1
176587,3,0,0,1,0,0
176590,6,5,15,1,1,1
176593,8,5,8,1,1,1
176596,8,5,11,1,1,1
176599,3,0,2,1,0,1
